Raw,Time,Amplitude
b'20\r\n',2021-09-18 12:06:54.267406,20
b'20\r\n',2021-09-18 12:06:54.267406,20
b'19\r\n',2021-09-18 12:06:54.268407,19
b'19\r\n',2021-09-18 12:06:54.268407,19
b'18\r\n',2021-09-18 12:06:54.268407,18
b'18\r\n',2021-09-18 12:06:54.270671,18
b'579\r\n',2021-09-18 12:06:54.270671,579
b'757\r\n',2021-09-18 12:06:54.270671,757
b'760\r\n',2021-09-18 12:06:54.270671,760
b'757\r\n',2021-09-18 12:06:54.273642,757
b'755\r\n',2021-09-18 12:06:54.273642,755
b'752\r\n',2021-09-18 12:06:54.274641,752
b'37\r\n',2021-09-18 12:06:54.274641,37
b'16\r\n',2021-09-18 12:06:54.275640,16
b'13\r\n',2021-09-18 12:06:54.275640,13
b'12\r\n',2021-09-18 12:06:54.275640,12
b'12\r\n',2021-09-18 12:06:54.276639,12
b'13\r\n',2021-09-18 12:06:54.276639,13
b'13\r\n',2021-09-18 12:06:54.277639,13
b'14\r\n',2021-09-18 12:06:54.277639,14
b'15\r\n',2021-09-18 12:06:54.277639,15
b'15\r\n',2021-09-18 12:06:54.279641,15
b'16\r\n',2021-09-18 12:06:54.279641,16
b'17\r\n',2021-09-18 12:06:54.280639,17
b'16\r\n',2021-09-18 12:06:54.280639,16
b'697\r\n',2021-09-18 12:06:54.280639,697
b'765\r\n',2021-09-18 12:06:54.281639,765
b'769\r\n',2021-09-18 12:06:54.281639,769
b'769\r\n',2021-09-18 12:06:54.281639,769
b'768\r\n',2021-09-18 12:06:54.282640,768
b'586\r\n',2021-09-18 12:06:54.282640,586
b'32\r\n',2021-09-18 12:06:54.282640,32
b'23\r\n',2021-09-18 12:06:54.282640,23
b'20\r\n',2021-09-18 12:06:54.282640,20
b'20\r\n',2021-09-18 12:06:54.283640,20
b'20\r\n',2021-09-18 12:06:54.283640,20
b'20\r\n',2021-09-18 12:06:54.283640,20
b'18\r\n',2021-09-18 12:06:54.283640,18
b'19\r\n',2021-09-18 12:06:54.284641,19
b'17\r\n',2021-09-18 12:06:54.284641,17
b'16\r\n',2021-09-18 12:06:54.285113,16
b'16\r\n',2021-09-18 12:06:54.285113,16
b'14\r\n',2021-09-18 12:06:54.285113,14
b'12\r\n',2021-09-18 12:06:54.285113,12
b'727\r\n',2021-09-18 12:06:54.285113,727
b'757\r\n',2021-09-18 12:06:54.285113,757
b'755\r\n',2021-09-18 12:06:54.285113,755
b'752\r\n',2021-09-18 12:06:54.285113,752
b'31\r\n',2021-09-18 12:06:54.285113,31
b'14\r\n',2021-09-18 12:06:54.285113,14
b'15\r\n',2021-09-18 12:06:54.287944,15
b'16\r\n',2021-09-18 12:06:54.287944,16
b'15\r\n',2021-09-18 12:06:54.287944,15
b'16\r\n',2021-09-18 12:06:54.287944,16
b'18\r\n',2021-09-18 12:06:54.287944,18
b'18\r\n',2021-09-18 12:06:54.288943,18
b'18\r\n',2021-09-18 12:06:54.288943,18
b'745\r\n',2021-09-18 12:06:54.288943,745
b'768\r\n',2021-09-18 12:06:54.288943,768
b'767\r\n',2021-09-18 12:06:54.289940,767
b'766\r\n',2021-09-18 12:06:54.291472,766
b'25\r\n',2021-09-18 12:06:54.291472,25
b'20\r\n',2021-09-18 12:06:54.292479,20
b'18\r\n',2021-09-18 12:06:54.292479,18
b'16\r\n',2021-09-18 12:06:54.292479,16
b'15\r\n',2021-09-18 12:06:54.292479,15
b'14\r\n',2021-09-18 12:06:54.292479,14
b'13\r\n',2021-09-18 12:06:54.293481,13
b'12\r\n',2021-09-18 12:06:54.293481,12
b'267\r\n',2021-09-18 12:06:54.293481,267
