Raw,Time,Amplitude
b'31',6.9735837,49
b'41',6.973626,65
b'18',6.9736686,24
b'C1',6.9737105,193
b'59',6.9737531,89
b'88',6.9737949,136
b'1A',6.9738362,26
b'A8',6.973878,168
b'21',6.9739259,33
b'EB',6.9739688,235
b'77',6.9740159,119
b'27',6.9740582,39
b'C6',6.9741377,198
b'D2',6.9741808,210
b'6B',6.9742224,107
b'6D',6.9742631,109
b'28',6.9743042,40
b'A6',6.9743454,166
b'03',6.9743872,3
b'1C',6.9773465,28
b'51',6.977584,81
b'44',6.9776447,68
b'D3',6.9776887,211
b'16',6.9777316,22
b'1E',6.9777744,30
b'19',6.9778184,25
b'6B',6.9778599,107
b'F1',6.9779013,241
b'07',6.9779507,7
b'61',6.9779977,97
b'18',6.9780394,24
b'87',6.9781,135
b'15',6.9781559,21
b'88',6.9782352,136
b'01',6.9782737,1
b'B9',6.9783127,185
b'7A',6.9783509,122
b'1E',6.9783894,30
b'A7',6.9784275,167
b'22',6.9784656,34
b'4B',6.9785031,75
b'68',6.9785415,104
b'32',6.9785788,50
b'D5',6.9813707,213
b'34',6.9815014,52
b'8E',6.9815436,142
b'41',6.981583,65
b'59',6.981622,89
b'11',6.9816673,17
b'2C',6.9817074,44
b'63',6.9817455,99
b'12',6.9817837,18
b'2F',6.981822,47
b'60',6.9818598,96
b'12',6.9818991,18
b'25',6.9819387,37
b'6A',6.9819777,106
b'13',6.9820167,19
b'1A',6.9820549,26
b'83',6.9821106,131
b'15',6.9821663,21
b'10',6.982204,16
b'8B',6.9822426,139
b'16',6.9822814,22
b'98',6.982319,152
b'71',6.9823573,113
b'79',6.9823951,121
b'80',6.9855612,128
b'1B',6.9857535,27
b'97',6.9857942,151
b'92',6.9858374,146
b'2A',6.9858766,42
b'6A',6.9859236,106
b'2E',6.9859636,46
b'B5',6.9860017,181
b'C3',6.9860399,195
b'9C',6.9860776,156
b'42',6.9861147,66
b'47',6.9861904,71
b'C3',6.9862282,195
b'85',6.9862664,133
b'9E',6.9863059,158
b'22',6.9863446,34
b'70',6.9863826,112
b'11',6.9864208,17
b'D8',6.9864583,216
b'61',6.986496,97
b'48',6.9865343,72
b'81',6.9865722,129
b'1A',6.9866101,26
b'97',6.9866482,151
b'82',6.9895129,130
b'0A',6.9896524,10
b'75',6.9896972,117
b'27',6.9897395,39
b'B6',6.9897807,182
b'C2',6.9898201,194
b'BC',6.9898605,188
b'60',6.9899031,96
b'35',6.9899442,53
b'D5',6.9899924,213
b'04',6.9901027,4
b'B1',6.9901799,177
b'04',6.9902209,4
b'94',6.9902615,148
b'91',6.9903021,145
b'04',6.9903428,4
b'B5',6.9903832,181
b'11',6.9904236,17
b'03',6.9904641,3
b'76',6.9905057,118
b'51',6.9905561,81
b'12',6.9905976,18
b'D6',6.9906387,214
b'F1',6.9906795,241
b'22',6.9936899,34
b'26',6.9938874,38
b'C1',6.9939341,193
b'12',6.9939771,18
b'56',6.9940204,86
b'81',6.9940633,129
b'12',6.9941041,18
b'76',6.9941837,118
b'41',6.9942252,65
b'02',6.9942662,2
b'96',6.9943082,150
b'1E',6.9943505,30
b'2B',6.9943939,43
b'5D',6.9944359,93
b'10',6.994477,16
b'20',6.9945181,32
b'67',6.9946329,103
b'10',6.9946935,16
b'15',6.9947433,21
b'70',6.9947899,112
b'11',6.9948364,17
b'C8',6.9948809,200
b'51',6.9949276,81
b'57',6.9949703,87
b'80',6.9977862,128
b'17',6.9979881,23
b'87',6.9980344,135
b'A1',6.998076,161
b'C9',6.9981186,201
b'73',6.9981959,115
b'26',6.9982348,38
b'B6',6.9982735,182
b'33',6.9983133,51
b'5C',6.9983523,92
b'56',6.9983916,86
b'43',6.9984308,67
b'E3',6.9984703,227
b'A4',6.9985132,164
b'BF',6.9985555,191
b'30',6.9985945,48
b'6A',6.9986346,106
b'12',6.9986732,18
b'26',6.998711,38
b'74',6.998749,116
b'14',6.9987873,20
b'1D',6.998825,29
b'80',6.9988639,128
b'15',6.9989028,21
b'98',6.9989422,152
b'71',7.0018872,113
b'8A',7.0021157,138
b'85',7.0022013,133
b'1C',7.0022434,28
b'A7',7.0022932,167
b'F2',7.0023361,242
b'1B',7.0023782,27
b'72',7.0024188,114
b'2C',7.0024601,44
b'C6',7.0025009,198
b'72',7.0025399,114
b'FD',7.0025798,253
b'58',7.002619,88
b'39',7.0026589,57
b'D5',7.0026981,213
b'04',7.0027356,4
b'7E',7.0027747,126
b'3D',7.0028146,61
b'58',7.0028534,88
b'F1',7.002892,241
b'87',7.0029306,135
b'C1',7.0029688,193
b'1E',7.0030079,30
b'85',7.0030464,133
b'15',7.0059375,21
b'77',7.00613,119
b'D1',7.0062054,209
b'B8',7.0062459,184
b'7B',7.0062871,123
b'1E',7.0063257,30
b'97',7.0063638,151
b'42',7.0064025,66
b'1A',7.0064439,26
b'6B',7.0064816,107
b'29',7.0065192,41
b'B6',7.0065568,182
