Raw,Time,Amplitude
b'23\r\n',2021-09-18 12:40:32.182879,23
b'22\r\n',2021-09-18 12:40:32.182879,22
b'24\r\n',2021-09-18 12:40:32.183879,24
b'23\r\n',2021-09-18 12:40:32.183879,23
b'23\r\n',2021-09-18 12:40:32.183879,23
b'24\r\n',2021-09-18 12:40:32.184879,24
b'22\r\n',2021-09-18 12:40:32.184879,22
b'991\r\n',2021-09-18 12:40:32.185880,991
b'991\r\n',2021-09-18 12:40:32.185880,991
b'991\r\n',2021-09-18 12:40:32.186880,991
b'990\r\n',2021-09-18 12:40:32.186880,990
b'27\r\n',2021-09-18 12:40:32.186880,27
b'15\r\n',2021-09-18 12:40:32.187880,15
b'13\r\n',2021-09-18 12:40:32.187880,13
b'12\r\n',2021-09-18 12:40:32.188881,12
b'14\r\n',2021-09-18 12:40:32.188881,14
b'14\r\n',2021-09-18 12:40:32.188881,14
b'16\r\n',2021-09-18 12:40:32.189881,16
b'16\r\n',2021-09-18 12:40:32.189881,16
b'16\r\n',2021-09-18 12:40:32.190880,16
b'991\r\n',2021-09-18 12:40:32.190880,991
b'990\r\n',2021-09-18 12:40:32.191879,990
b'990\r\n',2021-09-18 12:40:32.191879,990
b'690\r\n',2021-09-18 12:40:32.192879,690
b'28\r\n',2021-09-18 12:40:32.192879,28
b'24\r\n',2021-09-18 12:40:32.193882,24
b'24\r\n',2021-09-18 12:40:32.193882,24
b'24\r\n',2021-09-18 12:40:32.193882,24
b'23\r\n',2021-09-18 12:40:32.194880,23
b'23\r\n',2021-09-18 12:40:32.194880,23
b'23\r\n',2021-09-18 12:40:32.194880,23
b'21\r\n',2021-09-18 12:40:32.195880,21
b'943\r\n',2021-09-18 12:40:32.195880,943
b'991\r\n',2021-09-18 12:40:32.196880,991
b'991\r\n',2021-09-18 12:40:32.196880,991
b'991\r\n',2021-09-18 12:40:32.197880,991
b'40\r\n',2021-09-18 12:40:32.197880,40
b'15\r\n',2021-09-18 12:40:32.197880,15
b'15\r\n',2021-09-18 12:40:32.198881,15
b'15\r\n',2021-09-18 12:40:32.198881,15
b'17\r\n',2021-09-18 12:40:32.198881,17
b'17\r\n',2021-09-18 12:40:32.199881,17
b'19\r\n',2021-09-18 12:40:32.199881,19
b'20\r\n',2021-09-18 12:40:32.199881,20
b'21\r\n',2021-09-18 12:40:32.199881,21
b'990\r\n',2021-09-18 12:40:32.199881,990
b'990\r\n',2021-09-18 12:40:32.200880,990
b'990\r\n',2021-09-18 12:40:32.200880,990
b'989\r\n',2021-09-18 12:40:32.200880,989
b'31\r\n',2021-09-18 12:40:32.200880,31
b'23\r\n',2021-09-18 12:40:32.201880,23
b'22\r\n',2021-09-18 12:40:32.201880,22
b'23\r\n',2021-09-18 12:40:32.201880,23
b'21\r\n',2021-09-18 12:40:32.201880,21
b'20\r\n',2021-09-18 12:40:32.201880,20
b'18\r\n',2021-09-18 12:40:32.201880,18
b'17\r\n',2021-09-18 12:40:32.202881,17
b'439\r\n',2021-09-18 12:40:32.202881,439
b'990\r\n',2021-09-18 12:40:32.202881,990
b'991\r\n',2021-09-18 12:40:32.202881,991
b'991\r\n',2021-09-18 12:40:32.203881,991
b'101\r\n',2021-09-18 12:40:32.203881,101
b'19\r\n',2021-09-18 12:40:32.203881,19
b'18\r\n',2021-09-18 12:40:32.203881,18
b'18\r\n',2021-09-18 12:40:32.203881,18
b'19\r\n',2021-09-18 12:40:32.204881,19
b'20\r\n',2021-09-18 12:40:32.204881,20
b'21\r\n',2021-09-18 12:40:32.204881,21
b'23\r\n',2021-09-18 12:40:32.204881,23
b'23\r\n',2021-09-18 12:40:32.204881,23
b'991\r\n',2021-09-18 12:40:32.205881,991
b'990\r\n',2021-09-18 12:40:32.206889,990
b'991\r\n',2021-09-18 12:40:32.206889,991
b'988\r\n',2021-09-18 12:40:32.206889,988
b'30\r\n',2021-09-18 12:40:32.206889,30
b'22\r\n',2021-09-18 12:40:32.206889,22
b'21\r\n',2021-09-18 12:40:32.207884,21
b'18\r\n',2021-09-18 12:40:32.207884,18
b'18\r\n',2021-09-18 12:40:32.207884,18
b'16\r\n',2021-09-18 12:40:32.207884,16
b'14\r\n',2021-09-18 12:40:32.207884,14
b'13\r\n',2021-09-18 12:40:32.208885,13
b'445\r\n',2021-09-18 12:40:32.210887,445
b'990\r\n',2021-09-18 12:40:32.210887,990
b'989\r\n',2021-09-18 12:40:32.210887,989
b'990\r\n',2021-09-18 12:40:32.210887,990
b'101\r\n',2021-09-18 12:40:32.211884,101
b'21\r\n',2021-09-18 12:40:32.211884,21
b'21\r\n',2021-09-18 12:40:32.211884,21
b'22\r\n',2021-09-18 12:40:32.211884,22
b'22\r\n',2021-09-18 12:40:32.211884,22
b'23\r\n',2021-09-18 12:40:32.211884,23
b'23\r\n',2021-09-18 12:40:32.212884,23
b'23\r\n',2021-09-18 12:40:32.214893,23
b'24\r\n',2021-09-18 12:40:32.214893,24
b'990\r\n',2021-09-18 12:40:32.214893,990
b'990\r\n',2021-09-18 12:40:32.214893,990
b'990\r\n',2021-09-18 12:40:32.215895,990
b'988\r\n',2021-09-18 12:40:32.215895,988
b'27\r\n',2021-09-18 12:40:32.215895,27
b'18\r\n',2021-09-18 12:40:32.215895,18
b'15\r\n',2021-09-18 12:40:32.215895,15
b'14\r\n',2021-09-18 12:40:32.216884,14
b'13\r\n',2021-09-18 12:40:32.216884,13
b'14\r\n',2021-09-18 12:40:32.218905,14
