Raw,Time,Amplitude
b'6\r\n',7.3087818,6
b'F9\r\n',7.3089487,249
b'F9\r\n',7.3091083,249
b'F9\r\n',7.3092851,249
b'F9\r\n',7.309451,249
b'EB\r\n',7.3096747,235
b'9\r\n',7.3117772,9
b'7\r\n',7.3118928,7
b'7\r\n',7.3120022,7
b'6\r\n',7.312112,6
b'6\r\n',7.3122287,6
b'6\r\n',7.3123425,6
b'5\r\n',7.3124556,5
b'5\r\n',7.3125667,5
b'5\r\n',7.3127243,5
b'4\r\n',7.312916,4
b'4\r\n',7.3130634,4
b'F9\r\n',7.3132323,249
b'F8\r\n',7.3138605,248
b'F9\r\n',7.3140143,249
b'F9\r\n',7.3156038,249
b'F9\r\n',7.3158781,249
b'11\r\n',7.3160425,17
b'6\r\n',7.3161634,6
b'6\r\n',7.3162875,6
b'6\r\n',7.3164051,6
b'6\r\n',7.3165265,6
b'6\r\n',7.3166794,6
b'7\r\n',7.3168016,7
b'7\r\n',7.3169174,7
b'7\r\n',7.3170376,7
b'7\r\n',7.3171585,7
b'7\r\n',7.3172812,7
b'D0\r\n',7.3174446,208
b'F9\r\n',7.3176369,249
b'F9\r\n',7.3198286,249
b'F9\r\n',7.3199788,249
b'F9\r\n',7.3201138,249
b'1B\r\n',7.3202481,27
b'6\r\n',7.3203486,6
b'6\r\n',7.3204483,6
b'5\r\n',7.320578,5
b'5\r\n',7.3206791,5
b'5\r\n',7.3207814,5
b'5\r\n',7.320883,5
b'4\r\n',7.3209853,4
b'4\r\n',7.3210878,4
b'4\r\n',7.3212252,4
b'4\r\n',7.3213271,4
b'4\r\n',7.3214284,4
b'F9\r\n',7.3241143,249
b'F9\r\n',7.3242572,249
b'F9\r\n',7.3243907,249
b'F9\r\n',7.324524,249
b'AC\r\n',7.3246925,172
b'8\r\n',7.324803,8
b'7\r\n',7.3249058,7
b'7\r\n',7.3250119,7
b'7\r\n',7.3251134,7
b'7\r\n',7.3252145,7
b'7\r\n',7.3253162,7
b'7\r\n',7.3254175,7
b'7\r\n',7.3255176,7
b'7\r\n',7.3256375,7
b'7\r\n',7.3278157,7
b'7\r\n',7.3280331,7
b'F8\r\n',7.3281943,248
b'F8\r\n',7.328351,248
b'F9\r\n',7.3285082,249
b'F9\r\n',7.3287123,249
b'F9\r\n',7.328883,249
b'C\r\n',7.3290674,12
b'5\r\n',7.329226,5
b'5\r\n',7.3293485,5
b'4\r\n',7.3294708,4
b'4\r\n',7.3295913,4
b'4\r\n',7.329756,4
b'4\r\n',7.3298766,4
b'4\r\n',7.3299951,4
b'5\r\n',7.3320591,5
b'5\r\n',7.3321789,5
b'5\r\n',7.3322936,5
b'5\r\n',7.3324119,5
b'F9\r\n',7.3325918,249
b'F8\r\n',7.3327928,248
b'F9\r\n',7.3329536,249
b'F9\r\n',7.3331145,249
b'C0\r\n',7.3332929,192
b'9\r\n',7.3334269,9
b'7\r\n',7.3335657,7
b'7\r\n',7.3337639,7
b'7\r\n',7.3339013,7
b'7\r\n',7.3340236,7
b'7\r\n',7.3362548,7
b'7\r\n',7.3363913,7
b'7\r\n',7.3365163,7
b'7\r\n',7.3366791,7
b'6\r\n',7.336802,6
b'6\r\n',7.3369209,6
b'F8\r\n',7.3370831,248
b'F9\r\n',7.3372408,249
b'F8\r\n',7.3373944,248
b'F9\r\n',7.3375607,249
b'F9\r\n',7.3377593,249
b'C\r\n',7.3378831,12
b'5\r\n',7.3380057,5
b'4\r\n',7.3381303,4
b'4\r\n',7.3401721,4
b'4\r\n',7.3403708,4
b'5\r\n',7.3404773,5
b'5\r\n',7.3406006,5
b'5\r\n',7.3407191,5
b'6\r\n',7.3408216,6
b'6\r\n',7.3409232,6
b'6\r\n',7.3410256,6
b'6\r\n',7.3411347,6
b'F8\r\n',7.3412733,248
b'F8\r\n',7.3414088,248
b'F9\r\n',7.3415442,249
b'F9\r\n',7.341715,249
b'C9\r\n',7.3418522,201
b'9\r\n',7.3419543,9
b'7\r\n',7.3446287,7
b'7\r\n',7.3448029,7
b'7\r\n',7.3449273,7
b'7\r\n',7.3450501,7
b'7\r\n',7.3451695,7
b'7\r\n',7.345296,7
b'6\r\n',7.3454217,6
b'6\r\n',7.345551,6
b'6\r\n',7.3457146,6
b'5\r\n',7.3458334,5
b'F9\r\n',7.3459941,249
b'F8\r\n',7.346155,248
b'F9\r\n',7.3464145,249
b'F9\r\n',7.3465892,249
b'F9\r\n',7.3483196,249
b'D\r\n',7.3485183,13
b'5\r\n',7.3486586,5
b'5\r\n',7.3487622,5
b'5\r\n',7.3488667,5
b'5\r\n',7.3490121,5
b'6\r\n',7.3491164,6
b'6\r\n',7.3492185,6
b'6\r\n',7.3493236,6
b'6\r\n',7.3494287,6
b'7\r\n',7.3496373,7
b'6\r\n',7.3497911,6
b'6\r\n',7.3498951,6
b'F9\r\n',7.3500317,249
b'F9\r\n',7.3501671,249
b'F8\r\n',7.3524412,248
b'F9\r\n',7.3527448,249
b'CB\r\n',7.3529088,203
b'9\r\n',7.353027,9
b'7\r\n',7.3531489,7
b'6\r\n',7.3532778,6
b'6\r\n',7.3533996,6
b'6\r\n',7.3535115,6
b'6\r\n',7.3536311,6
b'5\r\n',7.3537882,5
b'5\r\n',7.3539163,5
b'5\r\n',7.3540359,5
b'4\r\n',7.3541584,4
b'4\r\n',7.3542826,4
b'F9\r\n',7.3544457,249
b'F8\r\n',7.3567149,248
b'F9\r\n',7.356874,249
b'F9\r\n',7.3570118,249
b'F9\r\n',7.3571504,249
b'E\r\n',7.3572661,14
b'6\r\n',7.3573696,6
b'6\r\n',7.3574732,6
b'6\r\n',7.3575756,6
b'6\r\n',7.3576973,6
b'6\r\n',7.3578168,6
b'7\r\n',7.3579185,7
