Amplitude,Time
996,2021-09-14 14:27:47.183134
996,2021-09-14 14:27:47.191143
997,2021-09-14 14:27:47.195138
560,2021-09-14 14:27:47.200140
442,2021-09-14 14:27:47.203140
395,2021-09-14 14:27:47.212143
368,2021-09-14 14:27:47.216142
361,2021-09-14 14:27:47.220144
995,2021-09-14 14:27:47.224143
997,2021-09-14 14:27:47.232148
996,2021-09-14 14:27:47.236148
798,2021-09-14 14:27:47.241150
512,2021-09-14 14:27:47.248149
424,2021-09-14 14:27:47.253153
383,2021-09-14 14:27:47.258171
369,2021-09-14 14:27:47.261155
355,2021-09-14 14:27:47.269156
996,2021-09-14 14:27:47.273157
997,2021-09-14 14:27:47.277159
997,2021-09-14 14:27:47.281158
672,2021-09-14 14:27:47.290177
477,2021-09-14 14:27:47.294163
406,2021-09-14 14:27:47.298165
381,2021-09-14 14:27:47.306166
362,2021-09-14 14:27:47.310167
352,2021-09-14 14:27:47.314168
996,2021-09-14 14:27:47.318168
997,2021-09-14 14:27:47.326171
997,2021-09-14 14:27:47.330171
588,2021-09-14 14:27:47.334172
447,2021-09-14 14:27:47.339175
400,2021-09-14 14:27:47.347176
371,2021-09-14 14:27:47.351177
358,2021-09-14 14:27:47.355178
990,2021-09-14 14:27:47.363179
997,2021-09-14 14:27:47.367179
998,2021-09-14 14:27:47.372184
869,2021-09-14 14:27:47.376184
527,2021-09-14 14:27:47.384187
432,2021-09-14 14:27:47.388187
387,2021-09-14 14:27:47.392189
367,2021-09-14 14:27:47.396189
358,2021-09-14 14:27:47.404191
996,2021-09-14 14:27:47.408194
997,2021-09-14 14:27:47.412228
996,2021-09-14 14:27:47.417194
712,2021-09-14 14:27:47.425201
490,2021-09-14 14:27:47.429196
412,2021-09-14 14:27:47.433198
380,2021-09-14 14:27:47.441200
366,2021-09-14 14:27:47.445205
352,2021-09-14 14:27:47.450206
996,2021-09-14 14:27:47.453201
996,2021-09-14 14:27:47.461260
996,2021-09-14 14:27:47.466206
618,2021-09-14 14:27:47.470205
458,2021-09-14 14:27:47.474204
401,2021-09-14 14:27:47.482208
377,2021-09-14 14:27:47.486205
358,2021-09-14 14:27:47.490206
354,2021-09-14 14:27:47.498232
997,2021-09-14 14:27:47.503212
997,2021-09-14 14:27:47.507213
965,2021-09-14 14:27:47.511213
549,2021-09-14 14:27:47.519212
437,2021-09-14 14:27:47.523223
394,2021-09-14 14:27:47.527225
368,2021-09-14 14:27:47.531232
360,2021-09-14 14:27:47.540216
995,2021-09-14 14:27:47.544215
996,2021-09-14 14:27:47.548230
996,2021-09-14 14:27:47.556238
768,2021-09-14 14:27:47.560243
503,2021-09-14 14:27:47.564242
422,2021-09-14 14:27:47.568222
382,2021-09-14 14:27:47.576225
368,2021-09-14 14:27:47.580263
356,2021-09-14 14:27:47.584269
997,2021-09-14 14:27:47.589227
997,2021-09-14 14:27:47.597229
996,2021-09-14 14:27:47.601229
651,2021-09-14 14:27:47.605231
472,2021-09-14 14:27:47.609233
404,2021-09-14 14:27:47.617234
380,2021-09-14 14:27:47.621235
363,2021-09-14 14:27:47.625235
351,2021-09-14 14:27:47.633298
997,2021-09-14 14:27:47.638239
996,2021-09-14 14:27:47.642240
997,2021-09-14 14:27:47.646239
577,2021-09-14 14:27:47.654242
444,2021-09-14 14:27:47.658244
398,2021-09-14 14:27:47.662244
373,2021-09-14 14:27:47.667248
357,2021-09-14 14:27:47.675249
993,2021-09-14 14:27:47.679248
996,2021-09-14 14:27:47.683246
997,2021-09-14 14:27:47.691250
836,2021-09-14 14:27:47.695248
519,2021-09-14 14:27:47.699249
429,2021-09-14 14:27:47.704256
388,2021-09-14 14:27:47.711264
366,2021-09-14 14:27:47.716255
360,2021-09-14 14:27:47.720256
995,2021-09-14 14:27:47.724254
997,2021-09-14 14:27:47.732257
997,2021-09-14 14:27:47.736259
692,2021-09-14 14:27:47.740259
485,2021-09-14 14:27:47.748275
413,2021-09-14 14:27:47.752262
379,2021-09-14 14:27:47.756262
368,2021-09-14 14:27:47.760264
354,2021-09-14 14:27:47.768266
997,2021-09-14 14:27:47.773268
996,2021-09-14 14:27:47.777269
996,2021-09-14 14:27:47.781269
603,2021-09-14 14:27:47.789271
456,2021-09-14 14:27:47.793272
399,2021-09-14 14:27:47.797273
379,2021-09-14 14:27:47.801273
360,2021-09-14 14:27:47.810279
955,2021-09-14 14:27:47.814280
998,2021-09-14 14:27:47.818280
996,2021-09-14 14:27:47.826281
910,2021-09-14 14:27:47.830281
540,2021-09-14 14:27:47.834281
433,2021-09-14 14:27:47.838282
395,2021-09-14 14:27:47.846287
370,2021-09-14 14:27:47.851289
361,2021-09-14 14:27:47.855288
997,2021-09-14 14:27:47.859290
997,2021-09-14 14:27:47.867290
997,2021-09-14 14:27:47.871292
738,2021-09-14 14:27:47.875294
495,2021-09-14 14:27:47.883298
421,2021-09-14 14:27:47.888299
383,2021-09-14 14:27:47.892299
368,2021-09-14 14:27:47.896299
360,2021-09-14 14:27:47.904302
997,2021-09-14 14:27:47.908302
996,2021-09-14 14:27:47.912302
996,2021-09-14 14:27:47.916304
632,2021-09-14 14:27:47.925306
469,2021-09-14 14:27:47.928346
405,2021-09-14 14:27:47.932373
380,2021-09-14 14:27:47.941313
366,2021-09-14 14:27:47.945312
353,2021-09-14 14:27:47.949313
996,2021-09-14 14:27:47.953314
996,2021-09-14 14:27:47.961315
997,2021-09-14 14:27:47.965315
565,2021-09-14 14:27:47.970318
442,2021-09-14 14:27:47.974318
398,2021-09-14 14:27:47.981372
376,2021-09-14 14:27:47.986320
359,2021-09-14 14:27:47.990320
995,2021-09-14 14:27:47.994320
998,2021-09-14 14:27:48.002323
997,2021-09-14 14:27:48.006324
799,2021-09-14 14:27:48.010324
512,2021-09-14 14:27:48.018381
427,2021-09-14 14:27:48.023329
390,2021-09-14 14:27:48.027330
367,2021-09-14 14:27:48.031330
363,2021-09-14 14:27:48.039333
996,2021-09-14 14:27:48.043334
997,2021-09-14 14:27:48.047334
997,2021-09-14 14:27:48.051334
671,2021-09-14 14:27:48.059391
479,2021-09-14 14:27:48.064340
414,2021-09-14 14:27:48.068341
379,2021-09-14 14:27:48.076341
369,2021-09-14 14:27:48.080343
357,2021-09-14 14:27:48.084344
997,2021-09-14 14:27:48.088345
996,2021-09-14 14:27:48.096347
998,2021-09-14 14:27:48.100366
591,2021-09-14 14:27:48.105350
454,2021-09-14 14:27:48.108369
399,2021-09-14 14:27:48.117349
380,2021-09-14 14:27:48.121352
363,2021-09-14 14:27:48.125355
987,2021-09-14 14:27:48.133354
998,2021-09-14 14:27:48.137377
996,2021-09-14 14:27:48.141366
879,2021-09-14 14:27:48.146356
534,2021-09-14 14:27:48.154358
431,2021-09-14 14:27:48.158374
395,2021-09-14 14:27:48.162378
372,2021-09-14 14:27:48.166379
359,2021-09-14 14:27:48.174358
997,2021-09-14 14:27:48.178359
